Locus Tag,Start,End,Strand
Rv0632c,728583,729278,-
Rv0633c,729327,730166,-
Rv0634A,731113,731364,+
Rv0634B,731712,731879,+
Rv0634c,730320,731033,-
Rv0635,731930,732406,+
Rv0636,732393,732821,+
Rv0637,732825,733325,+
Rv0638,733737,734222,+
Rv0639,734254,734970,+
Rv0640,735022,735450,+
Rv0641,735517,736224,+
Rv0642c,736298,737203,-
Rv0643c,737268,738149,-
Rv0644c,738297,739160,-
Rv0645c,739327,740187,-
Rv0646c,740234,741139,-
Rv0647c,741151,742617,-
Rv0648,742719,746366,+
Rv0649,746363,747037,+
Rv0650,747037,747945,+
Rv0651,748276,748812,+
Rv0652,748849,749241,+
Rv0653c,749234,749929,-
Rv0654,750000,751505,+
Rv0655,751517,752596,+
Rv0656c,752984,753367,-
Rv0657c,753462,753617,-
Rv0658c,753693,754409,-
Rv0659c,754685,754993,-
Rv0660c,754980,755225,-
Rv0661c,755335,755772,-
Rv0662c,755769,756137,-
Rv0663,756137,758500,+
Rv0664,758532,758804,+
Rv0665,758801,759139,+
Rv0666,759136,759309,+
Rv0667,759807,763325,+
Rv0668,763370,767320,+
Rv0669c,767684,769597,-
Rv0670,769792,770550,+
Rv0671,770582,771424,+
Rv0672,771484,773112,+
Rv0673,773123,774061,+
Rv0674,774064,774786,+
Rv0675,774783,775574,+
Rv0676c,775586,778480,-
Rv0677c,778477,778905,-
Rv0678,778990,779487,+
Rv0679c,779543,780040,-
Rv0680c,780042,780416,-
Rv0681,780721,781311,+
Rv0682,781560,781934,+
Rv0683,781934,782404,+
Rv0684,782485,784590,+
Rv0685,784821,786011,+
Rv0686,786149,786946,+
Rv0687,787099,787926,+
Rv0688,787940,789160,+
Rv0689c,789157,789411,-
Rv0690c,790024,791073,-
Rv0691c,791070,791666,-
Rv0692,791831,792160,+
Rv0693,792157,793332,+
Rv0694,793335,794525,+
Rv0695,794715,795470,+
Rv0696,795519,796931,+
Rv0697,796933,798372,+
Rv0698,798833,799444,+
Rv0699,799629,799850,+
Rv0700,800487,800792,+
Rv0701,800809,801462,+
Rv0702,801462,802133,+
Rv0703,802133,802435,+
Rv0704,802528,803370,+
Rv0705,803411,803692,+
Rv0706,803689,804282,+
Rv0707,804282,805106,+
Rv0708,805110,805526,+
Rv0709,805526,805759,+
Rv0710,805756,806166,+
Rv0711,806335,808698,+
Rv0712,808746,809645,+
Rv0713,809946,810887,+
Rv0714,811373,811741,+
Rv0715,811742,812059,+
Rv0716,812059,812622,+
Rv0717,812627,812812,+
Rv0718,812976,813374,+
Rv0719,813398,813937,+
Rv0720,813940,814308,+
Rv0721,814328,814990,+
Rv0722,814993,815190,+
Rv0723,815190,815630,+
Rv0724,815663,817534,+
Rv0724A,817531,817866,-
Rv0725c,817539,818444,-
Rv0726c,818537,819640,-
Rv0727c,819843,820499,-
Rv0728c,820496,821476,-
Rv0729,821507,822853,+
Rv0730,822866,823594,+
Rv0731c,823683,824639,-
Rv0732,824800,826125,+
Rv0733,826122,826667,+
Rv0734,826670,827470,+
Rv0735,827543,828076,+
Rv0736,828140,828892,+
Rv0737,829207,829704,+
Rv0738,830062,830610,+
Rv0739,830855,831661,+
Rv0740,831776,832303,+
Rv0741,832534,832848,+
Rv0742,832981,833508,+
Rv0743c,833886,834443,-
Rv0744c,834440,834946,-
Rv0745,835154,835681,+
Rv0746,835701,838052,+
Rv0747,838451,840856,+
Rv0748,840947,841204,+
Rv0749,841228,841656,+
Rv0749A,841737,841874,-
Rv0750,842033,842278,+
Rv0751c,842347,843231,-
Rv0752c,843242,844414,-
Rv0753c,844421,845953,-
Rv0754,846159,847913,+
Rv0755A,850342,850527,-
Rv0755c,848103,850040,-
Rv0756c,850741,851466,-
Rv0757,851608,852351,+
Rv0758,852396,853853,+
Rv0759c,853825,854157,-
Rv0760c,854267,854686,-
Rv0761c,854699,855826,-
Rv0762c,855925,856470,-
Rv0763c,856473,856679,-
Rv0764c,856682,858037,-
Rv0765c,858037,858864,-
Rv0766c,858864,860072,-
Rv0767c,860069,860710,-
Rv0768,860912,862381,+
Rv0769,862412,863158,+
Rv0770,863256,864143,+
Rv0771,864140,864574,+
Rv0772,864586,865854,+
Rv0773c,865851,867389,-
Rv0774c,867440,868351,-
Rv0775,868407,869030,+
Rv0776c,868984,869763,-
Rv0777,870008,871426,+
Rv0778,871431,872675,+
Rv0779c,872672,873292,-
Rv0780,873343,874236,+
Rv0781,874233,874943,+
Rv0782,874732,876390,+
Rv0783c,876818,878440,-
Rv0784,878638,879324,+
Rv0785,879340,881040,+
Rv0786c,881075,881464,-
Rv0787,881459,882418,+
Rv0787A,882524,882763,+
Rv0788,882760,883434,+
Rv0789c,883451,884050,-
Rv0790c,884072,884800,-
Rv0791c,884797,885840,-
Rv0792c,885837,886646,-
Rv0793,886719,887024,+
Rv0794c,887137,888636,-
Rv0795,889072,889398,+
Rv0796,889395,890333,+
Rv0797,890388,891482,+
Rv0798c,891472,892269,-
Rv0799c,892266,893273,-
Rv0800,893318,894619,+
Rv0801,894631,894978,+
Rv0802c,894972,895628,-
Rv0803,895820,898084,+
Rv0804,898081,898710,+
Rv0805,898831,899787,+
Rv0806c,899732,901330,-
Rv0807,901635,902024,+
Rv0808,902111,903694,+
Rv0809,903725,904819,+
Rv0810c,904905,905087,-
Rv0811c,905234,906340,-
Rv0812,906423,907292,+
Rv0813c,907338,908018,-
Rv0814c,908181,908483,-
Rv0815c,908485,909318,-
Rv0816c,909611,910033,-
Rv0817c,910030,910842,-
Rv0818,910972,911739,+
Rv0819,911736,912683,+
Rv0820,912726,913502,+
Rv0821c,913558,914199,-
Rv0822c,914257,916311,-
Rv0823c,916477,917646,-
Rv0824c,917734,918750,-
Rv0825c,918912,919553,-
Rv0826,919634,920689,+
Rv0827c,920741,921133,-
Rv0828c,921191,921613,-
Rv0829,921575,921865,+
Rv0830,921970,922875,+
Rv0831c,922894,923709,-
Rv0832,924951,925364,+
Rv0833,925361,927610,+
Rv0834c,927837,930485,-
Rv0835,930953,931597,+
Rv0836c,932279,932932,-
Rv0837c,933003,934031,-
Rv0838,934720,935490,+
Rv0839,935577,936389,+
Rv0840c,936457,937317,-
Rv0841,937593,937835,+
Rv0842,938112,939404,+
Rv0843,939388,940392,+
Rv0844c,940456,941106,-
Rv0845,941190,942467,+
Rv0846c,942680,944194,-
Rv0847,944343,944735,+
Rv0848,944938,946056,+
Rv0849,946056,947315,+
Rv0850,947312,947644,+
Rv0851c,947641,948468,-
Rv0852,948559,949395,+
Rv0853c,949436,951118,-
Rv0854,951183,951626,+
Rv0855,951632,952711,+
Rv0856,952825,953229,+
Rv0857,953257,953730,+
Rv0858c,953727,954920,-
Rv0859,955077,956288,+
Rv0860,956293,958455,+
Rv0861c,958523,960151,-
Rv0862c,960342,962612,-
Rv0863,962599,962880,+
Rv0864,962890,963393,+
Rv0865,963390,963872,+
Rv0866,963869,964294,+
Rv0867c,964312,965535,-
Rv0868c,965983,966261,-
Rv0869c,966265,967347,-
Rv0870c,967344,967733,-
Rv0871,967898,968305,+
Rv0872c,968424,970244,-
Rv0873,970505,972457,+
Rv0874c,972546,973706,-
Rv0875c,973806,974294,-
Rv0876c,974291,975937,-
Rv0877,976075,976863,+
Rv0878c,976872,978203,-
Rv0879c,978481,978756,-
Rv0880,978934,979365,+
Rv0881,979362,980228,+
Rv0882,980225,980509,+
Rv0883c,980506,981267,-
Rv0884c,981424,982554,-
Rv0885,982762,983784,+
Rv0886,983803,985530,+
Rv0887c,985513,985971,-
Rv0888,987233,988705,+
Rv0889c,988740,989861,-
Rv0890c,989948,992596,-
Rv0891c,992598,993455,-
Rv0892,993853,995340,+
Rv0893c,995318,996295,-
Rv0894,996524,997705,+
Rv0895,997782,999299,+
Rv0896,999472,1000767,+
Rv0897c,1000808,1002415,-
Rv0898c,1002441,1002704,-
Rv0899,1002812,1003792,+
Rv0900,1003805,1003957,+
Rv0901,1003957,1004484,+
Rv0902c,1004501,1005841,-
Rv0903c,1005852,1006562,-
Rv0904c,1006693,1008180,-
Rv0905,1008207,1008938,+
Rv0906,1008944,1010062,+
Rv0907,1010136,1011734,+
Rv0908,1011731,1014124,+
Rv0909,1014681,1014860,+
Rv0910,1014866,1015300,+
Rv0911,1015398,1016171,+
Rv0912,1016236,1016685,+
Rv0913c,1017217,1018725,-
Rv0914c,1018727,1019965,-
Rv0915c,1020058,1021329,-
Rv0916c,1021344,1021643,-
Rv0917,1022087,1023868,+
Rv0918,1024211,1024687,+
Rv0919,1024684,1025184,+
Rv0920c,1025497,1026816,-
Rv0921,1027104,1027685,+
Rv0922,1027685,1029337,+
Rv0923c,1029513,1030577,-
Rv0924c,1030578,1031864,-
Rv0925c,1031896,1032633,-
Rv0926c,1032710,1033786,-
Rv0927c,1033840,1034631,-
Rv0928,1034903,1036015,+
Rv0929,1036028,1037002,+
Rv0930,1036999,1037925,+
Rv0931c,1037920,1039914,-
Rv0932c,1039936,1041048,-
Rv0933,1041264,1042094,+
Rv0934,1042115,1043239,+
Rv0935,1043299,1044315,+
Rv0936,1044317,1045222,+
Rv0937c,1045199,1046020,-
Rv0938,1046136,1048415,+
Rv0939,1048412,1050346,+
Rv0940c,1050593,1051459,-
Rv0941c,1051544,1052317,-
Rv0942,1052360,1052638,+
Rv0943c,1052696,1053736,-
Rv0944,1053765,1054241,+
